actor,title,score,start_year,type
Jorge Garcia,The Wedding Ringer,6.8,2015,Movie
Jorge Garcia,Cooties,5.3,2014,Movie
Jorge Garcia,iSteve,5.4,2013,Movie
Jorge Garcia,The Ordained,6.9,2013,TV Movie
Jorge Garcia,Alcatraz,7.1,2012,TV Series
Jorge Garcia,Maktub,6.9,2011,Other/Unknown
Jorge Garcia,Lost,8.5,2004,TV Series
Jorge Garcia,Sweetzer,7.2,2007,Other/Unknown
Jorge Garcia,Deck the Halls,4.8,2006,Movie
Jorge Garcia,Little Athens,5.6,2005,Movie
Jorge Garcia,The Good Humor Man,6.2,2005,Movie
Jorge Garcia,Our Time Is Up,7.5,2004,Movie
Jorge Garcia,Happily Even After,6.9,2004,Movie
Jorge Garcia,Old School,7.1,2003,TV Movie
Jorge Garcia,The Slow and the Cautious,5.8,2002,Movie
Jorge Garcia,Tomorrow by Midnight,5.8,2001,Movie
Jorge Garcia,King of the Open Mics,4.4,2000,Other/Unknown
Jorge Garcia,Raven's Ridge,4.6,1997,Movie
Naveen Andrews,Far Cry 4,9.1,2014,Video Game
Naveen Andrews,Once Upon a Time in Wonderland,7.1,2013,TV Series
Naveen Andrews,Diana,5.4,2013,Movie
Naveen Andrews,Reckless,8.0,2013,TV Movie
Naveen Andrews,Sinbad,6.6,2012,TV Series
Naveen Andrews,Lost,8.5,2004,TV Series
Naveen Andrews,Animals,3.9,2008,Movie
Naveen Andrews,The Brave One,6.8,2007,Movie
Naveen Andrews,Planet Terror,7.2,2007,Movie
Naveen Andrews,Provoked: A True Story,6.6,2006,Movie
Naveen Andrews,The Ten Commandments,5.3,2006,TV Movie
Naveen Andrews,Bride & Prejudice,6.2,2004,Movie
Naveen Andrews,Easy,5.9,2003,Movie
Naveen Andrews,Future Tense,6.3,2003,TV Movie
Naveen Andrews,Rollerball,2.9,2002,Movie
Naveen Andrews,The Chippendales Murder,4.4,2000,TV Movie
Naveen Andrews,A Question of Faith,6.8,2000,Movie
Naveen Andrews,Drowning on Dry Land,5.4,1999,Movie
Naveen Andrews,Mighty Joe Young,5.5,1998,Movie
Naveen Andrews,Bombay Boys,7.0,1998,Movie
Naveen Andrews,My Own Country,7.2,1998,TV Movie
Naveen Andrews,True Love and Chaos,5.8,1997,Movie
Naveen Andrews,The English Patient,7.4,1996,Movie
Naveen Andrews,Kama Sutra: A Tale of Love,6.0,1996,Movie
Naveen Andrews,The Peacock Spring,8.3,1996,TV Movie
Naveen Andrews,The Buddha of Suburbia,7.4,1993,Other/Unknown
Naveen Andrews,Double Vision,5.2,1992,TV Movie
Naveen Andrews,Wild West,6.2,1992,Movie
Naveen Andrews,London Kills Me,6.4,1991,Movie
Matthew Fox,World War Z,7.0,2013,Movie
Matthew Fox,Alex Cross,5.1,2012,Movie
Matthew Fox,Emperor,6.5,2012,Movie
Matthew Fox,Lost,8.5,2004,TV Series
Matthew Fox,Speed Racer,6.0,2008,Video Game
Matthew Fox,Vantage Point,6.6,2008,Movie
Matthew Fox,Lost: Missing Pieces,8.2,2007,Other/Unknown
Matthew Fox,We Are Marshall,7.1,2006,Movie
Matthew Fox,A Token for Your Thoughts,6.1,2003,Movie
Matthew Fox,Haunted,7.5,2002,TV Series
Matthew Fox,Party of Five,6.7,1994,TV Series
Matthew Fox,Behind the Mask,6.2,1999,TV Movie
Matthew Fox,My Boyfriend's Back,5.2,1993,Movie
Matthew Fox,Freshman Dorm,6.4,1992,TV Series
Josh Holloway,Intelligence,7.0,2014,TV Series
Josh Holloway,Sabotage,5.8,2014,Movie
Josh Holloway,Battle of the Year,4.9,2013,Movie
Josh Holloway,Paranoia,5.6,2013,Movie
Josh Holloway,Mission: Impossible - Ghost Protocol,7.4,2011,Movie
Josh Holloway,Five,7.1,2011,TV Movie
Josh Holloway,Lost,8.5,2004,TV Series
Josh Holloway,Stay Cool,5.2,2009,Movie
Josh Holloway,Whisper,5.8,2007,Movie
Josh Holloway,Command & Conquer 3: Tiberium Wars,8.4,2007,Video Game
Josh Holloway,Dr. Benny,7.0,2003,Movie
Josh Holloway,Sabretooth,3.3,2002,TV Movie
Josh Holloway,Mi amigo,4.0,2002,Movie
Josh Holloway,Moving August,6.4,2002,Movie
Josh Holloway,Cold Heart,5.3,2001,Movie
Daniel Dae Kim,Hawaii Five-0,7.5,2010,TV Series
Daniel Dae Kim,The Tale of The Princess Kaguya,8.2,2013,Movie
Daniel Dae Kim,Saints Row IV,8.3,2013,Video Game
Daniel Dae Kim,Arena,4.8,2011,Movie
Daniel Dae Kim,Lost,8.5,2004,TV Series
Daniel Dae Kim,Saints Row 2,8.2,2008,Video Game
Daniel Dae Kim,The Andromeda Strain,6.2,2008,Other/Unknown
Daniel Dae Kim,Avatar: The Last Airbender - The Burning Earth,8.8,2007,Video Game
Daniel Dae Kim,Saints Row,7.8,2006,Video Game
Daniel Dae Kim,24: The Game,8.1,2006,Video Game
Daniel Dae Kim,The Cave,5.0,2005,Movie
Daniel Dae Kim,Sin,4.7,2003,Movie
Daniel Dae Kim,Ride or Die,4.3,2003,Movie
Daniel Dae Kim,Momentum,4.7,2003,TV Movie
Daniel Dae Kim,Tenchu: Wrath of Heaven,8.6,2003,Video Game
Daniel Dae Kim,Looking for Bobby D,7.7,2001,Movie
Daniel Dae Kim,"Murder, She Wrote: A Story to Die For",6.9,2000,TV Movie
Daniel Dae Kim,Crusade,6.7,1999,TV Series
Daniel Dae Kim,No Salida,6.7,1998,Other/Unknown
Daniel Dae Kim,Brave New World,5.2,1998,TV Movie
Daniel Dae Kim,American Shaolin,5.7,1991,Movie
Yunjin Kim,Mistresses,7.0,2013,TV Series
Yunjin Kim,The International Market,7.9,2014,Movie
Yunjin Kim,The Neighbors,6.4,2012,Movie
Yunjin Kim,Sleeping Dogs,8.4,2012,Video Game
Yunjin Kim,Sim-jang-i Ddwooin-da,6.7,2010,Movie
Yunjin Kim,Lost,8.5,2004,TV Series
Yunjin Kim,Hamoni,7.6,2010,Movie
Yunjin Kim,Lost: Via Domus,6.7,2008,Video Game
Yunjin Kim,Two Sisters,7.7,2008,TV Movie
Yunjin Kim,Lost: Missing Pieces,8.2,2007,Other/Unknown
Yunjin Kim,Se-beun De-i-jeu,6.9,2007,Movie
Yunjin Kim,Yu-wol-ui il-gi,6.8,2005,Movie
Yunjin Kim,Ardor,6.1,2002,Movie
Yunjin Kim,Yesterday,5.0,2002,Movie
Yunjin Kim,Iron Palm,6.1,2002,Other/Unknown
Yunjin Kim,Rush!,6.8,2001,Other/Unknown
Yunjin Kim,Danjeogbiyeonsu,5.7,2000,Movie
Yunjin Kim,Swiri,6.7,1999,Movie
Evangeline Lilly,Real Steel,7.1,2011,Movie
Evangeline Lilly,Lost,8.5,2004,TV Series
Evangeline Lilly,Afterwards,5.9,2008,Movie
Evangeline Lilly,The Hurt Locker,7.6,2008,Movie
Terry O'Quinn,Full Circle,6.9,2013,TV Series
Terry O'Quinn,Gang Related,7.6,2014,TV Series
Terry O'Quinn,666 Park Avenue,6.9,2012,TV Series
Terry O'Quinn,Ring of Fire,4.6,2012,Other/Unknown
Terry O'Quinn,Hallelujah,8.3,2011,TV Movie
Terry O'Quinn,Taken from Me: The Tiffany Rubin Story,6.2,2011,TV Movie
Terry O'Quinn,Lost,8.5,2004,TV Series
Terry O'Quinn,The Animated Alias: Tribunal,6.5,2004,Movie
Terry O'Quinn,Phenomenon II,5.0,2003,TV Movie
Terry O'Quinn,The Locket,7.5,2002,TV Movie
Terry O'Quinn,Hometown Legend,5.6,2002,Movie
Terry O'Quinn,American Outlaws,6.0,2001,Movie
Terry O'Quinn,WW 3,5.0,2001,TV Movie
Terry O'Quinn,Semper Fi,5.2,2001,TV Movie
Terry O'Quinn,Harsh Realm,7.3,1999,TV Series
Terry O'Quinn,Rated X,5.9,2000,TV Movie
Terry O'Quinn,Millennium,8.1,1996,TV Series
Terry O'Quinn,Murder in a Small Town,6.5,1999,TV Movie
Terry O'Quinn,The X Files,6.9,1998,Movie
Terry O'Quinn,Breast Men,5.8,1997,TV Movie
Terry O'Quinn,"My Stepson, My Lover",4.4,1997,TV Movie
Terry O'Quinn,On the Edge of Innocence,6.4,1997,TV Movie
Terry O'Quinn,Shadow Conspiracy,4.9,1997,Movie
Terry O'Quinn,Primal Fear,7.7,1996,Movie
Terry O'Quinn,Ray Alexander: A Menu for Murder,5.8,1995,TV Movie
Terry O'Quinn,Shadow Warriors,5.0,1995,Movie
Terry O'Quinn,A Friend to Die For,6.2,1994,TV Movie
Terry O'Quinn,Justice in a Small Town,5.8,1994,TV Movie
Terry O'Quinn,Don't Talk to Strangers,5.7,1994,TV Movie
Terry O'Quinn,Heart of a Child,7.2,1994,TV Movie
Terry O'Quinn,Lipstick Camera,4.0,1994,Movie
Terry O'Quinn,MacShayne: Winner Takes All,6.0,1994,TV Movie
Terry O'Quinn,Amityville: A New Generation,3.6,1993,Movie
Terry O'Quinn,Visions of Murder,5.9,1993,TV Movie
Terry O'Quinn,Born Too Soon,6.1,1993,TV Movie
Terry O'Quinn,My Samurai,4.2,1992,Movie
Terry O'Quinn,The Good Fight,6.5,1992,TV Movie
Terry O'Quinn,Wild Card,5.3,1992,TV Movie
Terry O'Quinn,Sexual Advances,6.2,1992,TV Movie
Terry O'Quinn,Trial: The Price of Passion,7.2,1992,TV Movie
Terry O'Quinn,Deliver Them from Evil: The Taking of Alta View,5.9,1992,TV Movie
Terry O'Quinn,The Cutting Edge,6.8,1992,Movie
Terry O'Quinn,Company Business,5.6,1991,Movie
Terry O'Quinn,The Rocketeer,6.4,1991,Movie
Terry O'Quinn,Son of the Morning Star,7.4,1991,TV Movie
Terry O'Quinn,The Last to Go,7.0,1991,TV Movie
Terry O'Quinn,Kaleidoscope,5.9,1990,TV Movie
Terry O'Quinn,Prisoners of the Sun,6.8,1990,Movie
Terry O'Quinn,Perry Mason: The Case of the Desperate Deception,7.5,1990,TV Movie
Terry O'Quinn,Stepfather II,5.6,1989,Movie
Terry O'Quinn,The Forgotten One,6.3,1989,Movie
Terry O'Quinn,Blind Fury,6.2,1989,Movie
Terry O'Quinn,Guts and Glory: The Rise and Fall of Oliver North,9.0,1989,TV Movie
Terry O'Quinn,The Jogger,6.7,1988,Other/Unknown
Terry O'Quinn,Young Guns,6.8,1988,Movie
Terry O'Quinn,Pin,6.7,1988,Movie
Terry O'Quinn,When the Time Comes,6.3,1987,TV Movie
Terry O'Quinn,Black Widow,6.3,1987,Movie
Terry O'Quinn,The Stepfather,6.8,1987,Movie
Terry O'Quinn,Women of Valor,6.0,1986,TV Movie
Terry O'Quinn,SpaceCamp,5.6,1986,Movie
Terry O'Quinn,Between Two Women,6.9,1986,TV Movie
Terry O'Quinn,An Early Frost,8.1,1985,TV Movie
Terry O'Quinn,Silver Bullet,6.3,1985,Movie
Terry O'Quinn,Right to Kill?,7.2,1985,TV Movie
Terry O'Quinn,Mischief,6.5,1985,Movie
Terry O'Quinn,Mrs. Soffel,6.2,1984,Movie
Terry O'Quinn,Places in the Heart,7.4,1984,Movie
Emilie de Ravin,Once Upon a Time,8.1,2011,TV Series
Emilie de Ravin,Once Upon a Time: The Price of Magic,7.8,2013,TV Movie
Emilie de Ravin,Air Force One Is Down,4.2,2013,TV Series
Emilie de Ravin,Hulluna Saraan,5.7,2012,Other/Unknown
Emilie de Ravin,Americana,7.6,2012,TV Movie
Emilie de Ravin,Operation: Endgame,4.9,2010,Movie
Emilie de Ravin,Lost,8.5,2004,TV Series
Emilie de Ravin,The Chameleon,5.6,2010,Movie
Emilie de Ravin,Remember Me,7.2,2010,Movie
Emilie de Ravin,High Noon,6.0,2009,TV Movie
Emilie de Ravin,The Perfect Game,6.9,2009,Movie
Emilie de Ravin,Ball Don't Lie,5.5,2008,Other/Unknown
Emilie de Ravin,Lost: Via Domus,6.7,2008,Video Game
Emilie de Ravin,The Hills Have Eyes,6.4,2006,Movie
Emilie de Ravin,Santa's Slay,5.4,2005,Movie
Emilie de Ravin,Brick,7.5,2005,Movie
Emilie de Ravin,Carrie,5.5,2002,TV Movie
Emilie de Ravin,Roswell,7.5,1999,TV Series
Michael Emerson,Person of Interest,8.5,2011,TV Series
Michael Emerson,"Batman: The Dark Knight Returns, Part 2",8.3,2013,Movie
Michael Emerson,"Batman: The Dark Knight Returns, Part 1",8.0,2012,Movie
Michael Emerson,Living in the Age of Surveillance,8.4,2012,Other/Unknown
Michael Emerson,Lost,8.5,2004,TV Series
Michael Emerson,"Goldstar, Ohio",7.9,2010,Movie
Michael Emerson,Lost: Final Chapter,7.7,2010,TV Movie
Michael Emerson,Lost: A Journey in Time,8.2,2009,TV Movie
Michael Emerson,Lost: Via Domus,6.7,2008,Video Game
Michael Emerson,"Lost: Past, Present & Future",8.0,2008,TV Movie
Michael Emerson,Jumping Off Bridges,7.0,2006,Movie
Michael Emerson,The Legend of Zorro,5.9,2005,Movie
Michael Emerson,29th and Gay,5.0,2005,Movie
Michael Emerson,Straight-Jacket,6.6,2004,Movie
Michael Emerson,Saw,7.7,2004,Movie
Michael Emerson,The Laramie Project,7.3,2002,TV Movie
Michael Emerson,Sounds from a Town I Love,6.4,2001,Other/Unknown
Michael Emerson,I'll Take You There,6.4,1999,Movie
Michael Emerson,Playing by Heart,7.2,1998,Movie
Michael Emerson,Grace & Glorie,6.9,1998,TV Movie
Michael Emerson,The Impostors,6.5,1998,Movie
Michael Emerson,The Journey,7.1,1997,Movie
Henry Ian Cusick,The 100,7.7,2014,TV Series
Henry Ian Cusick,10.0 Earthquake,5.3,2014,Other/Unknown
Henry Ian Cusick,Frank vs. God,8.1,2014,Movie
Henry Ian Cusick,dress,7.3,2013,Movie
Henry Ian Cusick,Not Another Happy Ending,6.4,2013,Movie
Henry Ian Cusick,The Girl on the Train,4.3,2013,Movie
Henry Ian Cusick,Lost,8.5,2004,TV Series
Henry Ian Cusick,Dead Like Me: Life After Death,6.1,2009,Movie
Henry Ian Cusick,Lost: Via Domus,6.7,2008,Video Game
Henry Ian Cusick,Hitman,6.3,2007,Movie
Henry Ian Cusick,After the Rain,6.6,2006,Other/Unknown
Henry Ian Cusick,9/Tenths,5.4,2006,Movie
Henry Ian Cusick,Half Light,6.0,2006,Movie
Henry Ian Cusick,Perfect Romance,6.0,2004,TV Movie
Henry Ian Cusick,Carla,6.6,2003,TV Movie
Henry Ian Cusick,The Visual Bible: The Gospel of John,7.7,2003,Movie
Henry Ian Cusick,The Book Group,7.5,2002,TV Series
Henry Ian Cusick,Two Thousand Acres of Sky,7.9,2001,TV Series
Henry Ian Cusick,The Dinosaur Hunters,7.0,2002,TV Movie
Henry Ian Cusick,Richard II,8.1,1997,TV Movie
Dominic Monaghan,Soldiers of Fortune,4.3,2012,Movie
Dominic Monaghan,The Millionaire Tour,6.4,2012,Movie
Dominic Monaghan,The Unknown,6.4,2012,TV Series
Dominic Monaghan,The Day,5.2,2011,Movie
Dominic Monaghan,Goodnight Burbank,7.1,2011,TV Series
Dominic Monaghan,Ray Amsley's Self Defense Against Perverts,8.3,2011,Other/Unknown
Dominic Monaghan,Eminem Featuring Rihanna: Love the Way You Lie,8.6,2010,Other/Unknown
Dominic Monaghan,FlashForward,7.6,2009,TV Series
Dominic Monaghan,Lost,8.5,2004,TV Series
Dominic Monaghan,X-Men Origins: Wolverine,6.7,2009,Movie
Dominic Monaghan,Devil's Bible,6.2,2008,TV Movie
Dominic Monaghan,I Sell the Dead,6.1,2008,Movie
Dominic Monaghan,Lord of the Rings: Battle for Middle Earth II - Rise of the Witch King,8.7,2006,Video Game
Dominic Monaghan,The Lord of the Rings: The Battle for Middle-Earth II,8.7,2006,Video Game
Dominic Monaghan,Shooting Livien,5.9,2005,Movie
Dominic Monaghan,The Lord of the Rings: The Battle for Middle-Earth,8.8,2004,Video Game
Dominic Monaghan,The Purifiers,3.4,2004,Movie
Dominic Monaghan,The Lord of the Rings: The Return of the King,8.3,2003,Video Game
Dominic Monaghan,An Insomniac's Nightmare,8.2,2003,Movie
Dominic Monaghan,Monsignor Renard,7.3,2000,TV Series
Dominic Monaghan,Hetty Wainthropp Investigates,7.5,1996,TV Series
Dominic Monaghan,Hostile Waters,6.2,1997,TV Movie
Harold Perrineau,The Championship Rounds,6.0,2013,Movie
Harold Perrineau,Constantine,7.6,2014,TV Series
Harold Perrineau,The Best Man Holiday,6.7,2013,Movie
Harold Perrineau,Sexy Evil Genius,5.7,2013,Movie
Harold Perrineau,Go for Sisters,6.1,2013,Movie
Harold Perrineau,Snitch,6.5,2013,Movie
Harold Perrineau,Wedding Band,7.7,2012,TV Series
Harold Perrineau,Zero Dark Thirty,7.4,2012,Movie
Harold Perrineau,Georgia,5.7,2012,TV Series
Harold Perrineau,Sunset Stories,7.2,2012,Other/Unknown
Harold Perrineau,Transit,5.8,2012,Movie
Harold Perrineau,Blade,6.8,2011,TV Series
Harold Perrineau,Seeking Justice,6.2,2011,Movie
Harold Perrineau,30 Days of Night: Dark Days,4.4,2010,Movie
Harold Perrineau,Case 219,6.5,2010,Movie
Harold Perrineau,Lost,8.5,2004,TV Series
Harold Perrineau,The Killing Jar,5.8,2010,Movie
Harold Perrineau,The Unusuals,8.0,2009,TV Series
Harold Perrineau,Felon,7.5,2008,Movie
Harold Perrineau,Your Name Here,5.1,2008,Other/Unknown
Harold Perrineau,Ball Don't Lie,5.5,2008,Other/Unknown
Harold Perrineau,Gardens of the Night,7.0,2008,Movie
Harold Perrineau,Demons,6.1,2007,TV Movie
Harold Perrineau,Garfield Gets Real,4.5,2007,Movie
Harold Perrineau,28 Weeks Later,7.0,2007,Movie
Harold Perrineau,The Matrix Online,6.8,2005,Video Game
Harold Perrineau,Oz,8.9,1997,TV Series
Harold Perrineau,On_Line,5.7,2002,Movie
Harold Perrineau,A Day in Black and White,6.7,2001,Movie
Harold Perrineau,Prison Song,6.5,2001,Movie
Harold Perrineau,Overnight Sensation,7.0,2000,Movie
Harold Perrineau,Woman on Top,5.2,2000,Movie
Harold Perrineau,The Best Man,6.6,1999,Movie
Harold Perrineau,Macbeth in Manhattan,5.6,1999,Movie
Harold Perrineau,The Tempest,4.7,1998,TV Movie
Harold Perrineau,Lulu on the Bridge,6.3,1998,Movie
Harold Perrineau,The Edge,6.9,1997,Movie
Harold Perrineau,Romeo + Juliet,6.9,1996,Movie
Harold Perrineau,Blood and Wine,6.0,1996,Movie
Harold Perrineau,Flirt,6.3,1995,Movie
Harold Perrineau,Smoke,7.5,1995,Movie
Elizabeth Mitchell,Revolution,6.7,2012,TV Series
Elizabeth Mitchell,Kristin's Christmas Past,6.4,2013,Movie
Elizabeth Mitchell,Prosecuting Casey Anthony,6.0,2013,TV Movie
Elizabeth Mitchell,Answers to Nothing,5.0,2011,Movie
Elizabeth Mitchell,V,6.9,2009,TV Series
Elizabeth Mitchell,Lost,8.5,2004,TV Series
Elizabeth Mitchell,The Santa Clause 3: The Escape Clause,4.6,2006,Movie
Elizabeth Mitchell,Running Scared,7.5,2006,Movie
Elizabeth Mitchell,Haskett's Chance,7.6,2006,TV Movie
Elizabeth Mitchell,3: The Dale Earnhardt Story,6.9,2004,TV Movie
Elizabeth Mitchell,Gramercy Park,6.8,2004,TV Movie
Elizabeth Mitchell,The Lyon's Den,6.3,2003,TV Series
Elizabeth Mitchell,The Santa Clause 2,5.5,2002,Movie
Elizabeth Mitchell,Double Bang,5.2,2001,Movie
Elizabeth Mitchell,Hollywood Palms,6.4,2001,Movie
Elizabeth Mitchell,The Linda McCartney Story,6.1,2000,TV Movie
Elizabeth Mitchell,Nurse Betty,6.3,2000,Movie
Elizabeth Mitchell,Frequency,7.3,2000,Movie
Elizabeth Mitchell,Molly,5.8,1999,Movie
Elizabeth Mitchell,Significant Others,6.6,1998,TV Series
Elizabeth Mitchell,Gia,7.0,1998,TV Movie
Elizabeth Mitchell,"Comfort, Texas",4.6,1997,TV Movie
Elizabeth Mitchell,L.A. Firefighters,5.0,1996,TV Series
Ken Leung,The Night Shift,7.2,2014,TV Series
Ken Leung,Zero Hour,6.4,2013,TV Series
Ken Leung,Susan 313,6.7,2012,TV Movie
Ken Leung,Big Mike,6.1,2011,TV Movie
Ken Leung,Lost,8.5,2004,TV Series
Ken Leung,Works of Art,6.8,2010,Movie
Ken Leung,Year of the Fish,6.6,2007,Movie
Ken Leung,Shanghai Kiss,6.9,2007,Movie
Ken Leung,Hate,6.3,2005,TV Movie
Ken Leung,Sucker Free City,7.0,2004,TV Movie
Ken Leung,Strip Search,6.5,2004,TV Movie
Ken Leung,Saw,7.7,2004,Movie
Ken Leung,Red Dragon,7.2,2002,Movie
Ken Leung,Face,6.4,2002,Movie
Ken Leung,Home Sweet Hoboken,6.6,2001,Movie
Ken Leung,A.I. Artificial Intelligence,7.1,2001,Movie
Ken Leung,Keeping the Faith,6.5,2000,Movie
Ken Leung,Rush Hour,6.9,1998,Movie
Ken Leung,Welcome to the Dollhouse,7.4,1995,Movie
Ken Leung,Pictures of Baby Jane Doe,5.0,1995,Movie
